feature pair,(log) Bayes Factor,cumulative posterior probability
VS-PN,13.32,1.63e-6
VS-VO,9.85,5.41e-5
VS-NG,6.81,0.00115
VO-PN,6.47,0.0027
VO-Gen,3.89,0.0227
NG-Gen,3.33,0.0573
ND-Pas,3.30,0.093
PN-NG,2.99,0.141
VS-NRc,2.98,0.189
PN-Pas,2.82,0.246
PN-Gen,2.71,0.308
PN-NNum,2.52,0.383
ND-Gen,2.36,0.469
NG-Pas,2.34,0.557
ND-NNum,1.42,0.751
VO-Pas,1.29,0.967
VS-ND,0.16,1.000
NA-NNum,-0.05,1.000
PN-NRc,-0.22,1.000
NG-NA,-0.36,1.000
VO-NA,-0.36,1.000
PN-NA,-0.42,1.000
NRc-Gen,-0.54,1.000
NA-NRc,-0.55,1.000
NA-ND,-0.65,1.000
NG-NRc,-0.73,1.000
VO-NG,-0.80,1.000
VS-Gen,-0.94,1.000
NRc-Pas,-0.95,1.000
NNum-NRc,-0.97,1.000
NNum-Pas,-1.02,1.000
VS-NNum,-1.03,1.000
NG-NNum,-1.13,1.000
NNum-Gen,-1.20,1.000
VS-NA,-1.21,1.000
NA-Pas,-1.34,1.000
NA-Gen,-1.37,1.000
VO-NRc,-1.38,1.000
VO-NNum,-1.39,1.000
ND-NRc,-1.49,1.000
VS-Pas,-1.56,1.000
NG-ND,-1.67,1.000
PN-ND,-1.77,1.000
VO-ND,-1.90,1.000
