feature pair,(log) Bayes Factor,cumulative posterior probability
VO-PN,20.00,2.06e-9
VS-VO,14.30,6.16e-7
PN-NG,12.43,4.63e-6
VS-NG,11.32,1.67e-5
VS-PN,10.06,5.95e-5
VO-NG,9.94,0.000108
NA-NNum,9.82,0.000162
VO-NRc,8.87,0.000303
ND-NNum,8.14,0.000595
NA-NRc,5.74,0.00381
PN-NRc,4.71,0.0127
NA-ND,4.23,0.027
NNum-NRc,3.51,0.0561
NG-NRc,3.10,0.0994
PN-NA,2.40,0.182
VS-NRc,2.19,0.283
VS-NNum,2.19,0.383
VO-NNum,1.74,0.532
VO-NA,1.08,0.785
ND-NRc,0.75,1.000
NG-NA,-0.32,1.000
PN-NNum,-0.58,1.000
VS-NA,-0.85,1.000
NG-ND,-1.07,1.000
NG-NNum,-1.19,1.000
PN-ND,-1.52,1.000
VO-ND,-1.58,1.000
VS-ND,-1.62,1.000
