feature pair,(log) Bayes Factor,cumulative posterior probability
VS-VO,32.64,6.66e-15
VO-PN,13.00,2.26e-6
VS-PN,11.04,1.82e-5
VS-NG,7.71,0.000466
VO-NG,7.56,0.000987
NG-Gen,4.04,0.0182
PN-NG,3.32,0.0531
ND-Pas,3.19,0.0928
ND-Gen,3.07,0.137
PN-Gen,2.84,0.192
NG-Pas,2.62,0.260
PN-Pas,2.58,0.330
VS-NRc,2.41,0.413
PN-NNum,2.24,0.509
ND-NNum,1.68,0.667
VO-NRc,1.37,0.869
VS-ND,0.64,1.000
Gen-Pas,0.47,1.000
VO-ND,0.29,1.000
VO-NNum,0.14,1.000
PN-NRc,-0.07,1.000
NA-NNum,-0.10,1.000
NG-NA,-0.23,1.000
PN-NA,-0.37,1.000
NA-NRc,-0.52,1.000
NA-ND,-0.59,1.000
NRc-Gen,-0.60,1.000
NG-NRc,-0.63,1.000
VS-NNum,-0.89,1.000
VS-Gen,-0.91,1.000
NRc-Pas,-0.93,1.000
VO-NA,-1.02,1.000
NNum-NRc,-1.03,1.000
NNum-Pas,-1.07,1.000
NNum-Gen,-1.16,1.000
VS-NA,-1.17,1.000
VO-Gen,-1.25,1.000
NA-Gen,-1.31,1.000
NG-NNum,-1.35,1.000
NA-Pas,-1.39,1.000
ND-NRc,-1.46,1.000
VO-Pas,-1.48,1.000
NG-ND,-1.50,1.000
VS-Pas,-1.56,1.000
PN-ND,-1.78,1.000
