feature pair,(log) Bayes Factor,cumulative posterior probability
VO-PN,16.66,5.82e-8
VO-NG,9.24,9.72e-5
NA-NNum,9.23,0.000195
VS-VO,8.57,0.000384
PN-NG,8.03,0.000709
VS-NG,7.03,0.00159
ND-NNum,6.97,0.00253
VS-PN,6.04,0.0049
VS-NNum,3.72,0.0285
VS-NA,3.64,0.054
NA-ND,3.63,0.080
PolQ-NegM,2.78,0.138
VO-NRc,1.93,0.265
VO-NegM,1.14,0.507
PN-NRc,0.90,0.796
VO-NNum,0.82,1.000
ND-PolQ,0.80,1.000
VS-ND,0.49,1.000
NNum-NegM,0.21,1.000
NA-NRc,0.21,1.000
NG-NNum,-0.04,1.000
VS-PolQ,-0.09,1.000
PN-ND,-0.10,1.000
VO-NA,-0.13,1.000
NG-ND,-0.18,1.000
NG-NRc,-0.19,1.000
VO-PolQ,-0.19,1.000
PN-NNum,-0.22,1.000
NRc-NegM,-0.26,1.000
NA-NegM,-0.32,1.000
NRc-PolQ,-0.36,1.000
NNum-NRc,-0.37,1.000
NG-NA,-0.41,1.000
PN-NegM,-0.42,1.000
VO-ND,-0.54,1.000
ND-NRc,-0.58,1.000
NG-NegM,-0.60,1.000
PN-PolQ,-0.66,1.000
NA-PolQ,-0.75,1.000
NNum-PolQ,-0.77,1.000
VS-NRc,-0.77,1.000
PN-NA,-0.81,1.000
VS-NegM,-0.92,1.000
NG-PolQ,-0.93,1.000
ND-NegM,-0.95,1.000
