longname,glot_fam,VS,VO,PN,NG,NA,ND,NNum,NRc,PolQ,NegM
NC.BANTOID.A53_BAFIA_RIKPA,Atlantic-Congo,,,2,2,2,2,2,1,,
NC.BANTOID.A72a_EWONDO,Atlantic-Congo,1,2,2,2,2,2,2,1,1,2
Sep.UPPER_SEPIK.ABAU,Sepik,1,1,1,1,,2,2,,,
Sep.UPPER_SEPIK.ABAU_2,Sepik,1,1,1,1,,2,2,,,
Gcu.SOUTH_GUAICURUAN.ABIPON,Guaicuruan,1,2,2,,,1,,1,,2
NWC.NORTHWEST_CAUCASIAN.ABKHAZ,Abkhaz-Adyge,1,1,1,1,2,1,,2,2,1
TAP.GREATER_ALOR.ABUI,Timor-Alor-Pantar,1,1,,1,2,1,2,1,,
TAP.GREATER_ALOR.ABUI_ATIMELANG,Timor-Alor-Pantar,1,1,,1,2,1,2,1,,
TAP.GREATER_ALOR.ABUI_MAKADAI,Timor-Alor-Pantar,1,1,,1,2,1,2,1,,
TAP.GREATER_ALOR.ABUI_TAKALELANG,Timor-Alor-Pantar,1,1,,1,2,1,2,1,,
WP.NORTH_CENTRAL_BIRDS_HEAD.ABUN,Abun,1,2,2,1,2,2,2,1,1,
An.MALAYO_SUMBAWAN.ACEH,Austronesian,,,2,2,2,2,1,1,1,
Arw.INLAND_NORTHERN_ARAWAKAN.ACHAGUA,Arawakan,1,2,1,1,2,,,1,,
ST.BURMESE_LOLO.ACHANG,Sino-Tibetan,1,1,1,1,,2,2,2,1,
ESu.NILOTIC.ACHOLI,Nilotic,1,2,2,2,2,,2,1,,
ESu.NILOTIC.ACHOLI_2,Nilotic,1,2,2,2,2,,2,1,,
TAP.GREATER_ALOR.ADANG,Timor-Alor-Pantar,1,1,1,1,2,2,2,,,2
TAP.GREATER_ALOR.ADANG_PITUNG,Timor-Alor-Pantar,1,1,1,1,2,2,2,,,2
NC.KWA.ADIOUKROU,Atlantic-Congo,1,2,1,1,2,2,2,1,1,1
An.OCEANIC.ADZERA,Austronesian,1,2,2,1,2,2,2,1,,1
AA.LOWLAND_EAST_CUSHITIC.AFAR,Afro-Asiatic,1,1,1,1,1,1,1,2,,
AA.LOWLAND_EAST_CUSHITIC.AFAR_2,Afro-Asiatic,1,1,1,1,1,1,1,2,,
TNG.EASTERN_HIGHLANDS.AGARABI,Nuclear_Trans_New_Guinea,1,1,,1,1,,1,,2,
NC.BANTOID.AGHEM_ISU,Atlantic-Congo,1,2,,2,2,2,2,,,2
NC.BANTOID.AGHEM_WEH,Atlantic-Congo,1,2,,2,2,2,2,,,2
NC.BANTOID.AGHEM_WUM,Atlantic-Congo,1,2,,2,2,2,2,,,2
CSu.MORU_MAADI.AGI,Central_Sudanic,1,,1,2,2,2,2,1,1,2
An.GREATER_CENTRAL_PHILIPPINE.AGTA,Austronesian,2,2,2,2,1,,1,,1,
Alt.TUNGUSIC.AIHUI_MANCHU,Tungusic,1,1,1,,1,,,,2,1
Ain.AINU.AINU_ASAHIKAWA,Ainu,1,1,1,1,1,1,1,2,1,2
Ain.AINU.AINU_BIHORO,Ainu,1,1,1,1,1,1,1,2,1,2
Ain.AINU.AINU_HIRATORI,Ainu,1,1,1,1,1,1,1,2,1,2
Ain.AINU.AINU_HOROBETSU,Ainu,1,1,1,1,1,1,1,2,1,2
Ain.AINU.AINU_KUSHIRO,Ainu,1,1,1,1,1,1,1,2,1,2
Ain.AINU.AINU_MAOKA,Ainu,1,1,1,1,1,1,1,2,1,2
Ain.AINU.AINU_NAIRO,Ainu,1,1,1,1,1,1,1,2,1,2
Ain.AINU.AINU_NAYORO,Ainu,1,1,1,1,1,1,1,2,1,2
Ain.AINU.AINU_NIIKAPPU,Ainu,1,1,1,1,1,1,1,2,1,2
Ain.AINU.AINU_NUKKIBETSU,Ainu,1,1,1,1,1,1,1,2,1,2
Ain.AINU.AINU_OBIHIRO,Ainu,1,1,1,1,1,1,1,2,1,2
