taxon,VS-VO,VS-PN,VS-NG,VS-NA,VS-ND,VS-NNum,VS-NRc,VS-PolQ,VS-NegM,VO-PN,VO-NG,VO-NA,VO-ND,VO-NNum,VO-NRc,VO-PolQ,VO-NegM,PN-NG,PN-NA,PN-ND,PN-NNum,PN-NRc,PN-PolQ,PN-NegM,NG-NA,NG-ND,NG-NNum,NG-NRc,NG-PolQ,NG-NegM,NA-ND,NA-NNum,NA-NRc,NA-PolQ,NA-NegM,ND-NNum,ND-NRc,ND-PolQ,ND-NegM,NNum-NRc,NNum-PolQ,NNum-NegM,NRc-PolQ,NRc-NegM,PolQ-NegM
NC.BANTOID.A53_BAFIA_RIKPA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,d,d,d,d,c,-,-,d,d,d,c,-,-,d,d,c,-,-,d,c,-,-,c,-,-,-,-,-
NC.BANTOID.A72a_EWONDO,b,b,b,b,b,b,a,a,b,d,d,d,d,d,c,c,d,d,d,d,d,c,c,d,d,d,d,c,c,d,d,d,c,c,d,d,c,c,d,c,c,d,a,b,b
Sep.UPPER_SEPIK.ABAU,a,a,a,-,b,b,-,-,-,a,a,-,b,b,-,-,-,a,-,b,b,-,-,-,-,b,b,-,-,-,-,-,-,-,-,d,-,-,-,-,-,-,-,-,-
Sep.UPPER_SEPIK.ABAU_2,a,a,a,-,b,b,-,-,-,a,a,-,b,b,-,-,-,a,-,b,b,-,-,-,-,b,b,-,-,-,-,-,-,-,-,d,-,-,-,-,-,-,-,-,-
Gcu.SOUTH_GUAICURUAN.ABIPON,b,b,-,-,a,-,a,-,b,d,-,-,c,-,c,-,d,-,-,c,-,c,-,d,-,-,-,-,-,-,-,-,-,-,-,-,a,-,b,-,-,-,-,b,-
NWC.NORTHWEST_CAUCASIAN.ABKHAZ,a,a,a,b,a,-,b,b,a,a,a,b,a,-,b,b,a,a,b,a,-,b,b,a,b,a,-,b,b,a,c,-,d,d,c,-,b,b,a,-,-,-,d,c,c
TAP.GREATER_ALOR.ABUI,a,-,a,b,a,b,a,-,-,-,a,b,a,b,a,-,-,-,-,-,-,-,-,-,b,a,b,a,-,-,c,d,c,-,-,b,a,-,-,c,-,-,-,-,-
TAP.GREATER_ALOR.ABUI_ATIMELANG,a,-,a,b,a,b,a,-,-,-,a,b,a,b,a,-,-,-,-,-,-,-,-,-,b,a,b,a,-,-,c,d,c,-,-,b,a,-,-,c,-,-,-,-,-
TAP.GREATER_ALOR.ABUI_MAKADAI,a,-,a,b,a,b,a,-,-,-,a,b,a,b,a,-,-,-,-,-,-,-,-,-,b,a,b,a,-,-,c,d,c,-,-,b,a,-,-,c,-,-,-,-,-
TAP.GREATER_ALOR.ABUI_TAKALELANG,a,-,a,b,a,b,a,-,-,-,a,b,a,b,a,-,-,-,-,-,-,-,-,-,b,a,b,a,-,-,c,d,c,-,-,b,a,-,-,c,-,-,-,-,-
WP.NORTH_CENTRAL_BIRDS_HEAD.ABUN,b,b,a,b,b,b,a,a,-,d,c,d,d,d,c,c,-,c,d,d,d,c,c,-,b,b,b,a,a,-,d,d,c,c,-,d,c,c,-,c,c,-,a,-,-
An.MALAYO_SUMBAWAN.ACEH,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,d,d,d,c,c,c,-,d,d,c,c,c,-,d,c,c,c,-,c,c,c,-,a,a,-,a,-,-
Arw.INLAND_NORTHERN_ARAWAKAN.ACHAGUA,b,a,a,b,-,-,a,-,-,c,c,d,-,-,c,-,-,a,b,-,-,a,-,-,b,-,-,a,-,-,-,-,c,-,-,-,-,-,-,-,-,-,-,-,-
ST.BURMESE_LOLO.ACHANG,a,a,a,-,b,b,b,a,-,a,a,-,b,b,b,a,-,a,-,b,b,b,a,-,-,b,b,b,a,-,-,-,-,-,-,d,d,c,-,d,c,-,c,-,-
ESu.NILOTIC.ACHOLI,b,b,b,b,-,b,a,-,-,d,d,d,-,d,c,-,-,d,d,-,d,c,-,-,d,-,d,c,-,-,-,d,c,-,-,-,-,-,-,c,-,-,-,-,-
