longname,glot_fam,Longitude,Latitude
NC.BANTOID.A53_BAFIA_RIKPA,Atlantic-Congo,11.17,5.0
NC.BANTOID.A72a_EWONDO,Atlantic-Congo,12.0,4.0
Sep.UPPER_SEPIK.ABAU,Sepik,141.25,-4.0
Sep.UPPER_SEPIK.ABAU_2,Sepik,141.25,-4.0
Gcu.SOUTH_GUAICURUAN.ABIPON,Guaicuruan,-61.0,-29.0
NWC.NORTHWEST_CAUCASIAN.ABKHAZ,Abkhaz-Adyge,41.0,43.08
TAP.GREATER_ALOR.ABUI,Timor-Alor-Pantar,124.58,-8.25
TAP.GREATER_ALOR.ABUI_ATIMELANG,Timor-Alor-Pantar,124.58,-8.25
TAP.GREATER_ALOR.ABUI_MAKADAI,Timor-Alor-Pantar,124.58,-8.25
TAP.GREATER_ALOR.ABUI_TAKALELANG,Timor-Alor-Pantar,124.58,-8.25
WP.NORTH_CENTRAL_BIRDS_HEAD.ABUN,Abun,132.5,-0.5
An.MALAYO_SUMBAWAN.ACEH,Austronesian,95.5,5.5
Arw.INLAND_NORTHERN_ARAWAKAN.ACHAGUA,Arawakan,-72.25,4.42
ST.BURMESE_LOLO.ACHANG,Sino-Tibetan,98.5,25.0
ESu.NILOTIC.ACHOLI,Nilotic,32.67,3.0
ESu.NILOTIC.ACHOLI_2,Nilotic,32.67,3.0
TAP.GREATER_ALOR.ADANG,Timor-Alor-Pantar,124.47,-8.17
TAP.GREATER_ALOR.ADANG_PITUNG,Timor-Alor-Pantar,124.47,-8.17
NC.KWA.ADIOUKROU,Atlantic-Congo,-4.58,5.42
An.OCEANIC.ADZERA,Austronesian,146.25,-6.25
AA.LOWLAND_EAST_CUSHITIC.AFAR,Afro-Asiatic,42.0,12.0
AA.LOWLAND_EAST_CUSHITIC.AFAR_2,Afro-Asiatic,42.0,12.0
TNG.EASTERN_HIGHLANDS.AGARABI,Nuclear_Trans_New_Guinea,146.0,-6.17
NC.BANTOID.AGHEM_ISU,Atlantic-Congo,10.0,6.67
NC.BANTOID.AGHEM_WEH,Atlantic-Congo,10.0,6.67
NC.BANTOID.AGHEM_WUM,Atlantic-Congo,10.0,6.67
CSu.MORU_MAADI.AGI,Central_Sudanic,29.75,4.75
An.GREATER_CENTRAL_PHILIPPINE.AGTA,Austronesian,121.83,17.97
Alt.TUNGUSIC.AIHUI_MANCHU,Tungusic,127.5,50.25
Ain.AINU.AINU_ASAHIKAWA,Ainu,142.37,43.77
Ain.AINU.AINU_BIHORO,Ainu,144.1,43.82
Ain.AINU.AINU_HIRATORI,Ainu,142.13,42.58
Ain.AINU.AINU_HOROBETSU,Ainu,141.1,42.42
Ain.AINU.AINU_KUSHIRO,Ainu,144.38,42.98
Ain.AINU.AINU_MAOKA,Ainu,142.05,47.05
Ain.AINU.AINU_NAIRO,Ainu,141.06,45.39
Ain.AINU.AINU_NAYORO,Ainu,142.46,44.35
Ain.AINU.AINU_NIIKAPPU,Ainu,142.32,42.37
Ain.AINU.AINU_NUKKIBETSU,Ainu,142.27,42.66
