"pair","f1","f2","LBF","CPP","interacting","control","skewness1","skewness2","skewness","status","phi","abs_phi","corrected_phi","abs_corrected_phi","HPD","k","H","H_over","H_under","Delta_over","Delta_under","D_over","D_under","N","mean_distance","sd_distance","dataset","mean_nsize"
"NG & NA","NG",NA,-0.76,1,"false","false",0.881409097132634,-0.330089010100036,1.21149810723267,"unknown",0.257939066897448,0.257939066897448,-0.08,0.08,"(-0.21, 0.04)",100,1.70687721694631,1.55258529409216,1.69330209138106,-0.154291922854146,-0.0135751255652508,-0.135351397002135,-0.0119086739976208,912,66.6006782081232,23.443102241139,"WALS",1.45394736842105
"PN & NA","PN",NA,2.54,0.151,"false","false",0.910052683272444,-0.0216099047926785,0.931662588065123,"unknown",0.18825669281642,0.18825669281642,-0.2,0.2,"(-0.34, -0.07)",100,1.78322068883126,1.57765567274561,1.89828616015496,-0.205565016085647,0.115065471323702,-0.182299188299209,0.102042372885263,831,67.5107171654747,23.4227899879236,"WALS",1.1841155234657
"NA & ND",NA,"ND",6.03,0.00403,"true","false",0.855441504291228,0.130614730121701,0.986056234412928,"interacting",0.586847305963179,0.586847305963179,0.26,0.26,"(0.15, 0.38)",100,1.47405824639144,1.37975358359756,1.68587494310217,-0.0943046627938826,0.21181669671073,-0.0843743642726729,0.189512359175359,888,66.2223528374927,23.9026990177444,"WALS",1.44144144144144
"NA & NNum",NA,"NNum",11.64,2.29e-05,"true","false",0.894382701731555,0.257959084633759,1.15234178636531,"interacting",0.575049740036576,0.575049740036576,0.49,0.49,"(0.35, 0.60)",100,1.43761789388708,1.29552891591376,1.75993043118598,-0.142088977973322,0.322312537298903,-0.12511857099335,0.283817116959286,897,66.8053688025807,23.4555103162589,"WALS",1.53623188405797
"VO & NA","VO",NA,1.03,0.888,"false","false",0.905511717961884,0.0739805222219986,0.979492240183882,"unknown",0.211922294657878,0.211922294657878,-0.15,0.15,"(-0.29, -0.03)",100,1.77029442608485,1.55246759928946,1.83506856573604,-0.217826826795393,0.0647741396511854,-0.193204998643212,0.0574524623414621,1026,65.5545782907225,23.8671888836816,"WALS",1.68810916179337
"NA & NRc",NA,"NRc",6.71,0.00163,"true","false",0.936192056634217,-1.5332640937283,2.46945615036251,"interacting",-0.496612736029748,0.496612736029748,0.37,0.37,"(0.21, 0.50)",100,1.33240161237588,0.787503867261395,1.89320585136354,-0.544897745114489,0.560804238987659,-0.3836203450658,0.394818876759357,618,65.7488813144922,24.4616265804237,"WALS",0.961165048543689
"VS & NA","VS",NA,-0.56,1,"false","false",0.919776426529583,-2.20430412061461,3.12408054714419,"unknown",-0.00562657153081191,0.00562657153081191,-0.09,0.09,"(-0.22, 0.04)",100,1.30261607786975,1.06183676025698,1.73366854979194,-0.240779317612769,0.431052471922187,-0.153045514785268,0.273988015743486,1008,65.7937048727966,23.6638364700773,"WALS",1.7281746031746
"PN & NG","PN","NG",13.38,2.41e-06,"true","false",-0.323045600189557,-0.131308044782615,0.454353644972172,"interacting",0.843921272450998,0.843921272450998,0.53,0.53,"(0.40, 0.65)",100,1.29288682869558,1.18778121981985,1.57658166570606,-0.105105608875725,0.283694837010485,-0.102891598034644,0.277718910022208,807,67.0637861542832,23.2935480637091,"WALS",1.10780669144981
"NG & ND","NG","ND",-0.5,1,"false","false",-0.345198597108529,0.0990355498917704,0.444234147000299,"unknown",0.438735262212462,0.438735262212462,0.09,0.09,"(-0.03, 0.21)",100,1.80669696248593,1.68588625138177,1.74614746600193,-0.120810711104163,-0.0605494964840037,-0.118125182579822,-0.0592035280805725,827,66.2197931597904,23.7230054157513,"WALS",1.30834340991536
"NG & NNum","NG","NNum",-0.46,1,"false","false",-0.332284217928312,0.215008499639803,0.547292717568115,"unknown",0.054186942950087,0.054186942950087,0.1,0.1,"(-0.02, 0.22)",100,1.91070742618324,1.43831089087209,1.59912094478535,-0.472396535311142,-0.311586481397887,-0.459654192277739,-0.303181801147792,840,66.9141053429222,23.1285415667553,"WALS",1.46904761904762
