VS & PN,1810,interacting,8.9,0.000137,0.23,0.34,0.01554,0.00412
VS & VO,1788,interacting,8.81,0.000286,0.29,0.34,-0.00066,-0.03111
VS & NG,1617,interacting,7.0,0.0012,0.3,0.32,-0.01691,0.06342
PN & VO,1695,interacting,6.47,0.00274,0.75,0.29,-0.00286,0.10023
NNum & NA,1396,interacting,5.25,0.00797,0.57,0.3,-0.01784,0.08108
ND & NNum,1565,interacting,4.47,0.0193,0.53,0.24,-0.00517,0.07756
NG & PN,1629,unknown,3.21,0.0579,0.62,0.2,-0.00248,0.06057
PN & AdPo,1686,control,2.92,0.109,0.07,0.17,6.0e-5,-0.00424
PN & NA,1480,unknown,2.52,0.183,0.22,0.18,-0.02621,0.03456
VO & NA,1371,unknown,2.48,0.261,0.2,0.19,-0.03288,0.01039
NNum & NRc,1269,unknown,1.9,0.391,0.22,0.18,-0.02749,0.05307
NG & AdPo,1478,control,1.58,0.562,0.06,0.15,-0.0086,0.00911
ND & AdPo,1540,control,1.42,0.757,0.15,0.14,-0.00233,0.0046
NA & AdPo,1342,control,1.33,0.966,0.16,0.16,0.01031,-0.00376
NG & VO,1503,unknown,1.19,1.0,0.62,0.16,-0.00296,0.05171
ND & NA,1374,unknown,0.97,1.0,0.56,0.15,-0.00859,-0.01738
NRc & NA,1172,unknown,0.21,1.0,0.37,0.14,-0.00419,0.05314
NNum & VO,1563,unknown,0.05,1.0,0.02,0.12,,
VO & AdPo,1551,control,0.03,1.0,0.08,0.11,-0.0006,-0.00144
VS & NRc,1347,unknown,0.02,1.0,0.17,0.13,0.07937,-0.0491
NRc & CoA,1215,control,-0.13,1.0,0.06,0.12,-0.00605,0.00459
VO & CoA,1461,control,-0.28,1.0,0.17,0.11,-0.00071,0.00434
VS & ND,1655,unknown,-0.45,1.0,0.03,0.1,,
ND & PN,1676,unknown,-0.66,1.0,0.42,0.08,-0.01766,0.04986
ND & NRc,1271,unknown,-0.67,1.0,0.43,0.09,-0.00549,0.04999
NNum & PN,1682,unknown,-0.81,1.0,0.04,0.08,,
NNum & AdPo,1539,control,-0.81,1.0,0.06,0.08,-0.00113,-0.00015
VS & NNum,1666,unknown,-0.93,1.0,0.31,0.08,-0.03481,0.07592
PN & CoA,1609,control,-1.04,1.0,0.17,0.07,-0.00228,0.00428
VS & AdPo,1651,control,-1.06,1.0,0.08,0.07,-0.01463,0.01493
NA & CoA,1292,control,-1.08,1.0,0.13,0.07,-0.00098,-0.00598
NG & NNum,1500,unknown,-1.12,1.0,0.11,0.06,-0.00648,0.00033
ND & CoA,1470,control,-1.14,1.0,0.12,0.06,-0.00116,0.00377
NG & ND,1502,unknown,-1.15,1.0,0.49,0.07,-0.00681,0.0618
NRc & AdPo,1266,control,-1.2,1.0,0.16,0.06,0.00731,0.00907
NG & NA,1343,unknown,-1.25,1.0,0.29,0.06,-0.00155,-0.01811
VS & NA,1467,unknown,-1.29,1.0,0.04,0.05,,
PN & NRc,1387,unknown,-1.32,1.0,0.49,0.05,-0.00471,0.07228
ND & VO,1543,unknown,-1.37,1.0,0.4,0.05,-0.00766,0.04839
VS & CoA,1572,control,-1.41,1.0,0.15,0.05,-0.00225,0.01792
NG & NRc,1217,unknown,-1.41,1.0,0.5,0.04,0.00023,0.00735
AdPo & CoA,1489,control,-1.42,1.0,0.12,0.04,-0.0012,-0.00063
NRc & VO,1269,unknown,-1.5,1.0,0.51,0.02,-0.00534,0.08319
NNum & CoA,1467,control,-1.59,1.0,0.0,0.02,,
NG & CoA,1420,control,-1.72,1.0,0.08,0.01,-0.00053,0.006
