feature pair,(log) Bayes Factor,cumulative posterior probability
VS-PN,8.90,0.000137
VS-VO,8.81,0.000286
VS-NG,7.00,0.0012
PN-VO,6.47,0.00274
NNum-NA,5.25,0.00797
ND-NNum,4.47,0.0193
NG-PN,3.21,0.0579
PN-AdPo,2.92,0.109
PN-NA,2.52,0.183
VO-NA,2.48,0.261
NNum-NRc,1.90,0.391
NG-AdPo,1.58,0.562
ND-AdPo,1.42,0.757
NA-AdPo,1.33,0.966
NG-VO,1.19,1.000
ND-NA,0.97,1.000
NRc-NA,0.21,1.000
NNum-VO,0.05,1.000
VO-AdPo,0.03,1.000
VS-NRc,0.02,1.000
NRc-CoA,-0.13,1.000
VO-CoA,-0.28,1.000
VS-ND,-0.45,1.000
ND-PN,-0.66,1.000
ND-NRc,-0.67,1.000
NNum-AdPo,-0.81,1.000
NNum-PN,-0.81,1.000
VS-NNum,-0.93,1.000
PN-CoA,-1.04,1.000
VS-AdPo,-1.06,1.000
NA-CoA,-1.08,1.000
NG-NNum,-1.12,1.000
ND-CoA,-1.14,1.000
NG-ND,-1.15,1.000
NRc-AdPo,-1.20,1.000
NG-NA,-1.25,1.000
VS-NA,-1.29,1.000
PN-NRc,-1.32,1.000
ND-VO,-1.37,1.000
VS-CoA,-1.41,1.000
NG-NRc,-1.41,1.000
AdPo-CoA,-1.42,1.000
NRc-VO,-1.50,1.000
NNum-CoA,-1.59,1.000
NG-CoA,-1.72,1.000
