pair,f1,f2,class,phi,phi_pvalue,freq11,freq12,freq21,freq22,pref11,pref12,pref21,pref22,degree,H,H_pref,H_dispref,N,mean_distance,sd_distance,mean_nsize,f1_pretty,f2_pretty,pair_pretty,pair_ID,pair_pretty_1,phi_JW,log_Bayes,okay_JW,okay
VO & PN,VO,PN,target,0.7293350914377336,1.4014133513443273e-242,0.38097768331562165,0.07013815090329437,0.06376195536663125,0.4851222104144527,1,0,0,1,100,1.5073180717981574,1.462592458912125,1.6866623890771664,1881,61.52980121768417,25.541090792089168,3.5746943115364167,VO,PN,VO & PN,"Set(SubString{String}[""PN"", ""VO""])",PN & VO,0.64,19.25,1,interacting
GB065 & PN,GB065,PN,target,0.6187023982523359,1.1529085573417638e-157,0.3985973115137347,0.14494447691408532,0.052600818234950324,0.4038573933372297,1,0,0,1,100,1.638826510452934,1.5970981707678296,1.773370644878577,1711,62.25408645716171,25.201676708013817,3.0192869666861486,NG,PN,NG & PN,"Set(SubString{String}[""PN"", ""NG""])",NG & PN,0.55,12.07,1,interacting
GB130 & VO,GB130,VO,target,0.2629155577754394,2.0003979049595233e-34,0.4333836098541981,0.4097536450477627,0.024132730015082957,0.13273001508295626,1,1,0,0,100,1.5459919566306888,1.3392801002614951,1.5886411984968514,1988,61.53356693770991,25.447088822572294,3.7595573440643864,VS,VO,VS & VO,"Set(SubString{String}[""VS"", ""VO""])",VO & VS,0.49,15.82,1,interacting
GB024 & NA,GB024,NA,target,0.5510273387891187,3.2108329969414606e-105,0.2545090180360721,0.17167668670674682,0.04876419505678023,0.5250501002004008,1,0,0,1,100,1.5496087715905609,1.423628159834047,1.781505991477896,1497,61.026583212015986,25.673528792325413,2.8537074148296595,NNum,NA,NNum & NA,"Set(SubString{String}[""NNum"", ""NA""])",NA & NNum,0.47,10.93,1,interacting
GB130 & PN,GB130,PN,target,0.24097035051840698,3.4686159356141145e-28,0.41856846473029047,0.42531120331950206,0.025933609958506226,0.13018672199170125,1,1,0,0,100,1.5511549090424004,1.390757554627658,1.6766051118301668,1927,61.62040031091983,25.54159624990184,3.588998443175921,VS,PN,VS & PN,"Set(SubString{String}[""VS"", ""PN""])",PN & VS,0.45,12.03,1,interacting
GB130 & GB065,GB130,GB065,target,0.3044298063751638,1.5764861358971304e-37,0.5224489795918368,0.33002915451895043,0.02740524781341108,0.12011661807580175,1,1,0,0,100,1.4915609107131247,1.344552822837629,1.6770239116601573,1715,61.81875619938403,25.23026807764684,3.2174927113702623,VS,NG,VS & NG,"Set(SubString{String}[""VS"", ""NG""])",NG & VS,0.45,14.12,1,interacting
GB065 & VO,GB065,VO,target,0.5897869122700837,7.665456699828362e-138,0.41077844311377243,0.14311377245508983,0.06646706586826347,0.37964071856287424,1,0,0,1,100,1.6797895409530765,1.6037493879638356,1.831751114186004,1670,61.60803474675677,25.226378031110333,3.18562874251497,NG,VO,NG & VO,"Set(SubString{String}[""VO"", ""NG""])",NG & VO,0.41,8.85,1,interacting
GB025 & GB024,GB025,GB024,target,0.5082316561069097,3.2684673874588274e-98,0.3220338983050847,0.12227602905569007,0.12046004842615012,0.43523002421307505,1,0,0,1,100,1.7453540572707664,1.6400973075844778,1.8979222007221446,1652,61.637336963827316,25.48577064464656,3.3365617433414045,ND,NNum,ND & NNum,"Set(SubString{String}[""NNum"", ""ND""])",ND & NNum,0.38,9.98,1,interacting
VO & NRc,VO,NRc,target,-0.4897439466633672,6.468592363163058e-78,0.19260838663823737,0.24946695095948826,0.4975124378109453,0.06041222459132907,0,0,1,0,100,1.6493136938582778,1.12123679809398,1.7445082842142643,1406,60.28606798105887,25.863069528567486,2.8264580369843526,VO,NRc,VO & NRc,"Set(SubString{String}[""NRc"", ""VO""])",VO & NRc,0.38,8.15,1,interacting
NRc & NA,NRc,NA,target,-0.3668426183155571,1.3201917263738148e-36,0.13705179282868526,0.5745019920318725,0.16254980079681275,0.1258964143426295,0,1,0,0,100,1.6006305038979969,1.1076586223178073,1.863181176865395,1254,59.277237502486344,26.38978967584542,2.4003189792663475,NRc,NA,NRc & NA,"Set(SubString{String}[""NA"", ""NRc""])",NA & NRc,0.37,7.43,1,interacting
NRc & PN,NRc,PN,target,-0.500395486448843,3.2159820527973727e-84,0.18485675306957708,0.5122783083219645,0.24351978171896316,0.059345156889495224,0,1,0,0,100,1.6035947112376485,1.052144242495411,1.6961564501293918,1465,60.80484422712324,25.897742008633838,2.724914675767918,NRc,PN,NRc & PN,"Set(SubString{String}[""NRc"", ""PN""])",PN & NRc,0.28,3.83,1,interacting
GB024 & NRc,GB024,NRc,target,-0.20951511788055488,1.7975831213728672e-14,0.2730627306273063,0.18671586715867158,0.42509225092250924,0.11512915129151291,1,0,1,0,100,1.832446264956528,1.6450246717887906,1.9162833701725885,1355,60.475384650484216,25.77821776238469,2.7202952029520295,NNum,NRc,NNum & NRc,"Set(SubString{String}[""NNum"", ""NRc""])",NNum & NRc,0.28,4.07,1,interacting
GB025 & NA,GB025,NA,target,0.5641139148167984,8.190880268553436e-109,0.2563226247436774,0.1749829118250171,0.041695146958304855,0.5269993164730007,1,0,0,1,100,1.5219563108627439,1.4449618566732711,1.6146890057391743,1463,60.239151540986384,25.896485608336793,2.88174982911825,ND,NA,ND & NA,"Set(SubString{String}[""ND"", ""NA""])",NA & ND,0.27,4.72,1,interacting
GB065 & NRc,GB065,NRc,target,-0.4988581093816313,5.068476055879178e-79,0.24669260700389106,0.28949416342412454,0.4303501945525292,0.03346303501945525,0,1,1,0,100,1.6405222995558626,1.5799077456760922,1.7603262514744933,1285,61.23750967374261,25.46765074699099,2.356420233463035,NG,NRc,NG & NRc,"Set(SubString{String}[""NRc"", ""NG""])",NG & NRc,0.24,2.64,0,unknown
GB130 & NRc,GB130,NRc,target,-0.1644260550716975,4.776560292204316e-11,0.5610263522884882,0.28640776699029125,0.13314840499306518,0.019417475728155338,1,1,0,0,100,1.4823583570628776,1.2857385192570772,1.5094920362282402,1441,60.37930895232443,25.852432723840998,2.828591256072172,VS,NRc,VS & NRc,"Set(SubString{String}[""NRc"", ""VS""])",NRc & VS,0.19,1.93,0,unknown
GB025 & NRc,GB025,NRc,target,-0.44568799032772627,5.013809026299469e-62,0.21742367833209233,0.24646314221891288,0.47282204020848845,0.06329113924050633,0,0,1,0,100,1.6685601524576668,1.1430066995041641,1.8427456386871437,1343,60.01276459314344,25.93141097381802,2.722263588979896,ND,NRc,ND & NRc,"Set(SubString{String}[""ND"", ""NRc""])",ND & NRc,0.17,0.55,0,unknown
GB065 & GB025,GB065,GB025,target,0.46630191668021664,1.1345229149689919e-79,0.3676190476190476,0.1796825396825397,0.0926984126984127,0.36,1,0,0,1,100,1.8172158562936112,1.7598205010110504,1.9033985179111845,1575,61.71459651199662,25.38691426594317,2.899047619047619,NG,ND,NG & ND,"Set(SubString{String}[""ND"", ""NG""])",NG & ND,0.06,-1.17,0,unknown
GB065 & GB024,GB065,GB024,target,0.07044400309086127,0.005899516587988203,0.2484197218710493,0.2939317319848293,0.17762326169405815,0.2800252844500632,0,1,0,1,100,1.939911594357946,1.5722830708472846,1.8569456517960108,1582,62.14519117735051,25.115597804652047,3.030341340075853,NG,NNum,NG & NNum,"Set(SubString{String}[""NNum"", ""NG""])",NG & NNum,0.05,-1.32,0,unknown
