pair,f1,f2,class,phi,phi_pvalue,freq11,freq12,freq21,freq22,pref11,pref12,pref21,pref22,degree,H,H_pref,H_dispref,N,mean_distance,sd_distance,mean_nsize,pair_ID,dataset,pair_1,f1_1,f2_1,class_1,phi_1,phi_pvalue_1,freq11_1,freq12_1,freq21_1,freq22_1,pref11_1,pref12_1,pref21_1,pref22_1,degree_1,H_1,H_pref_1,H_dispref_1,N_1,mean_distance_1,sd_distance_1,mean_nsize_1,dataset_1
NG & VS,NG,VS,target,0.4056652249181693,2.3007102203668684e-35,0.574398249452954,0.019693654266958426,0.2713347921225383,0.13457330415754923,1,0,1,0,850,1.4574202865112769,1.433929139831004,1.6705166522316777,913,484.97489826875415,223.66967407645419,35.036144578313255,"Set(SubString{String}[""VS"", ""NG""])",WALS,VS & NG,VS,NG,target,0.30812230142967295,3.3252652361213107e-38,0.5252051582649473,0.3276670574443142,0.026963657678780773,0.1201641266119578,1,1,0,0,850,1.5207203687882815,1.504599072013858,1.5844906011185615,1706,486.8318971034593,228.03901359960798,60.95545134818288,Grambank
ND & VS,ND,VS,target,-0.016017351204693,0.7048114487255214,0.39750849377123443,0.06568516421291053,0.4665911664779162,0.07021517553793885,1,0,1,0,850,1.5528844825081012,1.5284644071068114,1.7266629278644203,882,478.52008592367866,225.53020564932706,33.20634920634921,"Set(SubString{String}[""ND"", ""VS""])",WALS,VS & ND,VS,ND,target,0.006468694169282391,0.8400666412467795,0.39216799091940974,0.4648127128263337,0.0641316685584563,0.07888762769580022,1,1,0,0,850,1.5806312490541519,1.5731984480562753,1.6308326457304005,1762,480.83955802837414,227.63050127653946,64.08059023836549,Grambank
NNum & VS,NNum,VS,target,-0.2987395263774891,6.788236369560899e-19,0.3068309070548712,0.11086226203807391,0.5509518477043673,0.03135498320268757,1,0,1,0,850,1.4883721224747313,1.4623812298073808,1.6606558716901927,892,486.2391884623548,224.46633456418039,36.09865470852018,"Set(SubString{String}[""NNum"", ""VS""])",WALS,VS & NNum,VS,NNum,target,-0.3322060720625534,1.804130179213438e-45,0.30518018018018017,0.545045045045045,0.12274774774774774,0.02702702702702703,1,1,0,0,850,1.5041084042343265,1.490545060227214,1.4940763349474229,1776,481.77281174477866,228.4331706354567,65.5427927927928,Grambank
VO & VS,VO,VS,target,0.3869751832834035,7.168608054657066e-42,0.4917073170731707,0.004878048780487805,0.36,0.14341463414634145,1,0,1,0,850,1.465400333688748,1.443756957129995,1.6084681111323231,1024,482.51418960424206,223.41853147398595,39.48046875,"Set(SubString{String}[""VS"", ""VO""])",WALS,VS & VO,VS,VO,target,0.28817263953203615,3.6058763866011006e-41,0.4230971128608924,0.42362204724409447,0.015748031496062992,0.13753280839895013,1,1,0,0,850,1.5314325331268215,1.5145609121095196,1.6087171347631455,1904,483.38650909214226,227.52753841701937,70.28151260504201,Grambank
NRc & VS,NRc,VS,target,-0.22555743362204075,1.3530008026032641e-10,0.6074918566775245,0.18078175895765472,0.20846905537459284,0.003257328990228013,1,0,0,0,850,1.3619562306654673,1.2677508596696905,1.4428983931321058,614,493.06426770869086,223.94943938947821,22.078175895765472,"Set(SubString{String}[""NRc"", ""VS""])",WALS,VS & NRc,VS,NRc,target,-0.16314735707798922,6.973403629000657e-11,0.5621096460791117,0.28591256072172105,0.1325468424705066,0.01943095072866065,1,1,0,0,850,1.4734863554607418,1.445096837488454,1.5151584048110838,1440,481.9379047030168,228.12101621946275,48.99444444444445,Grambank
PN & VS,PN,VS,target,0.3716076176763704,3.4775508354279376e-29,0.5112960760998811,0.016646848989298454,0.3281807372175981,0.14387633769322236,1,0,1,0,850,1.516054461648071,1.4921416572540154,1.711097849136343,841,483.66971163972727,221.1293261616099,31.66230677764566,"Set(SubString{String}[""PN"", ""VS""])",WALS,VS & PN,VS,PN,target,0.23652448541834423,4.293286926355321e-27,0.4204250907205806,0.42405391394504927,0.02695697252462416,0.128564022809746,1,1,0,0,850,1.5646702260421543,1.5556853200931062,1.6322068921902146,1928,484.3762526605986,226.86785089006787,68.38070539419087,Grambank
NA & VS,NA,VS,target,-0.008911799807087947,0.856067888431819,0.2507903055848261,0.04214963119072708,0.6101159114857745,0.09694415173867228,1,0,1,0,850,1.437126833242487,1.4168398232471735,1.5248396038229834,948,480.40057690033564,224.90367576754147,35.641350210970465,"Set(SubString{String}[""NA"", ""VS""])",WALS,VS & NA,VS,NA,target,-0.04913580197153183,0.06424124635468435,0.24824952259707192,0.6129853596435392,0.049013367281986,0.08975175047740293,0,1,0,0,850,1.450445836432038,1.3379628839853712,1.4461035030273084,1570,482.01115948081787,228.1891758142123,53.29936305732484,Grambank
NG & ND,NG,ND,target,0.4332468755985037,3.353983152879157e-36,0.386977886977887,0.20147420147420148,0.08968058968058969,0.32186732186732187,1,0,0,1,850,1.8313630773018015,1.8302919113678224,1.8695731935906923,812,482.74032009231837,226.19419847018054,28.221674876847292,"Set(SubString{String}[""ND"", ""NG""])",WALS,NG & ND,NG,ND,target,0.46955771977366784,2.7720955570864573e-81,0.3712121212121212,0.17929292929292928,0.09154040404040405,0.35795454545454547,1,0,0,1,850,1.8207665946189864,1.8206992064922904,1.8423308007740449,1584,486.33732179749654,228.72824047829295,54.73106060606061,Grambank
NG & NNum,NG,NNum,target,0.04162156689982583,0.26076010649161935,0.27151515151515154,0.31272727272727274,0.17575757575757575,0.24,1,1,0,0,850,1.9689342184301377,1.930464087679321,1.9588719586123784,823,489.08149066709296,225.0167848005633,30.891859052247874,"Set(SubString{String}[""NNum"", ""NG""])",WALS,NG & NNum,NG,NNum,target,0.07528586169943621,0.003204709808894467,0.2488945041061276,0.29374605180037905,0.17561591914087177,0.2817435249526216,0,1,0,1,850,1.9730168800028756,1.9182223753463614,1.9784169753158485,1583,486.9190161883512,229.4156982188922,56.10612760581175,Grambank
NG & VO,NG,VO,target,0.7126670127042544,1.2341572937719338e-118,0.46516613076098606,0.12111468381564845,0.028938906752411574,0.38478027867095393,1,0,0,1,850,1.5625990722724539,1.5581788133414687,1.6145213890665846,932,485.50008675359396,223.57822252352906,33.98283261802575,"Set(SubString{String}[""VO"", ""NG""])",WALS,NG & VO,NG,VO,target,0.6183900908265908,3.9707360245364943e-146,0.4065656565656566,0.14709595959595959,0.05113636363636364,0.3952020202020202,1,0,0,1,850,1.6823688480191263,1.6802495723923978,1.6895603716890126,1584,486.1013892351417,228.73050071730412,58.79419191919192,Grambank
