"pair","dataset","inflpoint"
"NG & NA","WALS",15
"PN & NA","WALS",15
"NA & ND","WALS",29
"NA & NNum","WALS",6
"VO & NA","WALS",15
"NA & NRc","WALS",11
"VS & NA","WALS",64
"PN & NG","WALS",NA
"NG & ND","WALS",14
"NG & NNum","WALS",21
"VO & NG","WALS",NA
"NG & NRc","WALS",19
"VS & NG","WALS",15
"PN & ND","WALS",11
"PN & NNum","WALS",21
"VO & PN","WALS",76
"PN & NRc","WALS",16
"VS & PN","WALS",15
"ND & NNum","WALS",52
"VO & ND","WALS",14
"ND & NRc","WALS",16
"VS & ND","WALS",NA
"VO & NNum","WALS",21
"NNum & NRc","WALS",15
"VS & NNum","WALS",8
"VO & NRc","WALS",14
"VS & VO","WALS",15
"VS & NRc","WALS",14
"NA & NegM","WALS",15
"NA & PolQ","WALS",16
"NG & NegM","WALS",20
"NG & PolQ","WALS",22
"PN & NegM","WALS",20
"PN & PolQ","WALS",27
"ND & NegM","WALS",15
"ND & PolQ","WALS",28
"NNum & NegM","WALS",16
"NNum & PolQ","WALS",NA
"VO & NegM","WALS",14
"VO & PolQ","WALS",14
"NRc & NegM","WALS",53
"NRc & PolQ","WALS",27
"VS & NegM","WALS",8
"VS & PolQ","WALS",33
"VS & NG","Grambank",9
"VS & NA","Grambank",4
"VS & ND","Grambank",99
"VS & NNum","Grambank",13
"VS & VO","Grambank",12
"VS & NRc","Grambank",15
"VS & PN","Grambank",14
"NG & NA","Grambank",13
"NG & ND","Grambank",76
"NG & NNum","Grambank",21
"VO & NG","Grambank",14
"NG & NRc","Grambank",21
"PN & NG","Grambank",40
"NA & ND","Grambank",2
"NA & NNum","Grambank",99
"VO & NA","Grambank",13
"NA & NRc","Grambank",44
"PN & NA","Grambank",21
"ND & NNum","Grambank",58
"VO & ND","Grambank",6
"ND & NRc","Grambank",34
"PN & ND","Grambank",59
"VO & NNum","Grambank",14
"NNum & NRc","Grambank",17
"PN & NNum","Grambank",22
"VO & NRc","Grambank",15
"VO & PN","Grambank",15
"PN & NRc","Grambank",20
"VS & Gen","Grambank",4
"VS & Pas","Grambank",39
"NG & Gen","Grambank",NA
"NG & Pas","Grambank",NA
"NA & Gen","Grambank",33
"NA & Pas","Grambank",40
"ND & Gen","Grambank",7
"ND & Pas","Grambank",NA
"NNum & Gen","Grambank",NA
"NNum & Pas","Grambank",NA
"VO & Gen","Grambank",6
"VO & Pas","Grambank",47
"NRc & Gen","Grambank",22
"NRc & Pas","Grambank",12
"PN & Gen","Grambank",NA
"PN & Pas","Grambank",71
