overattested control - underattested control,5e-04,0.0996,> 0.99
overattested control - overattested interacting,-2e-04,-0.0394,> 0.99
overattested control - underattested interacting,-5e-04,-0.096,> 0.99
overattested control - overattested unknown,-8e-04,-0.1387,> 0.99
overattested control - underattested unknown,-0.0022,-0.4109,0.85
underattested control - overattested interacting,-8e-04,-0.139,> 0.99
underattested control - underattested interacting,-0.0011,-0.1956,> 0.99
underattested control - overattested unknown,-0.0013,-0.2383,0.98
underattested control - underattested unknown,-0.0028,-0.5105,0.69
overattested interacting - underattested interacting,-3e-04,-0.0566,> 0.99
overattested interacting - overattested unknown,-5e-04,-0.0993,> 0.99
overattested interacting - underattested unknown,-0.002,-0.3715,0.96
underattested interacting - overattested unknown,-2e-04,-0.0428,> 0.99
underattested interacting - underattested unknown,-0.0017,-0.3149,0.98
overattested unknown - underattested unknown,-0.0015,-0.2722,0.97
