overattested control - underattested control,-0.0038,-0.1135,> 0.99
overattested control - overattested interacting,0.003,0.091,> 0.99
overattested control - underattested interacting,-0.058,-1.7371,0.007**
overattested control - overattested unknown,0.0131,0.3907,0.86
overattested control - underattested unknown,-0.051,-1.5263,< 0.001***
underattested control - overattested interacting,0.0068,0.2044,> 0.99
underattested control - underattested interacting,-0.0542,-1.6236,0.014*
underattested control - overattested unknown,0.0168,0.5042,0.69
underattested control - underattested unknown,-0.0472,-1.4129,0.001**
overattested interacting - underattested interacting,-0.0611,-1.828,0.026*
overattested interacting - overattested unknown,0.01,0.2998,0.99
overattested interacting - underattested unknown,-0.054,-1.6173,0.012*
underattested interacting - overattested unknown,0.0711,2.1278,< 0.001***
underattested interacting - underattested unknown,0.007,0.2107,> 0.99
overattested unknown - underattested unknown,-0.0641,-1.9171,< 0.001***
