overattested control - underattested control,-0.002,> 0.99
overattested control - overattested interacting,3e-04,> 0.99
overattested control - underattested interacting,-0.035,< 0.001***
overattested control - overattested unknown,-3e-04,> 0.99
overattested control - underattested unknown,-0.0153,0.10
underattested control - overattested interacting,0.0023,> 0.99
underattested control - underattested interacting,-0.033,0.001**
underattested control - overattested unknown,0.0017,> 0.99
underattested control - underattested unknown,-0.0133,0.21
overattested interacting - underattested interacting,-0.0353,0.007**
overattested interacting - overattested unknown,-5e-04,> 0.99
overattested interacting - underattested unknown,-0.0156,0.38
underattested interacting - overattested unknown,0.0348,< 0.001***
underattested interacting - underattested unknown,0.0197,0.15
overattested unknown - underattested unknown,-0.0151,0.093
