(overattested interacting - underattested interacting),-2.758,-3.671,-1.844
(overattested interacting - overattested unknown),-0.056,-0.895,0.783
(overattested interacting - underattested unknown),-0.397,-1.239,0.445
(overattested interacting - overattested control),-0.022,-0.79,0.747
(overattested interacting - underattested control),-0.079,-0.848,0.69
(underattested interacting - overattested unknown),2.702,1.743,3.66
(underattested interacting - underattested unknown),2.361,1.429,3.292
(underattested interacting - overattested control),2.736,1.836,3.636
(underattested interacting - underattested control),2.679,1.784,3.574
(overattested unknown - underattested unknown),-0.341,-1.235,0.553
(overattested unknown - overattested control),0.034,-0.792,0.86
(overattested unknown - underattested control),-0.023,-0.849,0.803
(underattested unknown - overattested control),0.375,-0.454,1.204
(underattested unknown - underattested control),0.318,-0.51,1.146
(overattested control - underattested control),-0.057,-0.811,0.697
