feature pair,(log) Bayes Factor,cumulative posterior probability
VO-PN,20.12,1.83e-9
VS-VO,18.97,7.63e-9
VO-NG,16.94,5.17e-8
VS-NG,14.06,8.35e-7
NA-NNum,11.33,1.29e-5
PN-NG,11.14,2.74e-5
VS-PN,11.12,4.22e-5
ND-NNum,9.71,0.000103
NA-NRc,8.58,0.000291
VO-NRc,7.09,0.00112
NA-ND,5.44,0.00546
PN-NRc,4.58,0.0156
NNum-NRc,4.20,0.0304
PN-NA,3.12,0.0727
NG-NRc,2.88,0.126
VS-NNum,2.47,0.204
ND-PolQ,2.11,0.312
VO-NA,1.96,0.435
VS-NRc,1.15,0.676
VO-NNum,1.04,0.937
PN-PolQ,0.62,1.000
NG-PolQ,0.57,1.000
VO-NegM,0.37,1.000
ND-NRc,0.13,1.000
VS-NegM,0.07,1.000
NG-ND,-0.36,1.000
VS-NA,-0.52,1.000
NA-NegM,-0.59,1.000
NegM-PolQ,-0.63,1.000
NNum-PolQ,-0.64,1.000
VS-PolQ,-0.65,1.000
NG-NA,-0.65,1.000
NG-NNum,-0.66,1.000
NA-PolQ,-1.13,1.000
NRc-NegM,-1.17,1.000
PN-NNum,-1.21,1.000
NRc-PolQ,-1.21,1.000
PN-NegM,-1.39,1.000
ND-NegM,-1.45,1.000
NNum-NegM,-1.51,1.000
PN-ND,-1.57,1.000
VO-PolQ,-1.59,1.000
NG-NegM,-1.64,1.000
VO-ND,-1.65,1.000
VS-ND,-1.66,1.000
