pair,corrected_phi,hpd,abs_corrected_phi,f1,f2,pair_ID,pair_2,logBayes,cpp,f1_2,f2_2,interacting,control,status,pair_1,f1_1,f2_1,class,phi,phi_pvalue,freq11,freq12,freq21,freq22,pref11,pref12,pref21,pref22,degree,H,H_pref,H_dispref,N,mean_distance,sd_distance,mean_nsize,dataset,Delta_over,Delta_under,skewness1,skewness2,skewness
VS & VO,0.48,"(0.38, 0.59)",0.48,VS,VO,"Set(SubString{String}[""VS"", ""VO""])",VS & VO,14.43,8.65e-7,VS,VO,true,false,interacting,VS & VO,VS,VO,target,0.3869751832834035,7.168608054657055e-42,0.4917073170731707,0.36,0.004878048780487805,0.14341463414634145,1,0,0,1,100,1.4114859228727838,1.2136601698169236,1.1165429576277024,1024,65.65286727612339,23.84728288596485,1.77734375,WALS,-0.19782575305586025,-0.29494296524508146,-1.9792759558025408,0.01365885510610545,1.9929348109086462
VS & PN,0.45,"(0.33, 0.57)",0.45,VS,PN,"Set(SubString{String}[""VS"", ""PN""])",VS & PN,11.14,3.74e-5,VS,PN,true,false,interacting,VS & PN,VS,PN,target,0.3716076176763704,3.4775508354279634e-29,0.5112960760998811,0.3281807372175981,0.016646848989298454,0.14387633769322236,1,0,0,1,100,1.4487025892334138,1.193735164146551,1.1827817765244706,841,66.78117366129605,23.421725936881277,1.3151010701545778,WALS,-0.25496742508686276,-0.2659208127089432,-1.8495533947256686,-0.11194665454600863,1.9615000492716772
VS & NG,0.44,"(0.33, 0.57)",0.44,VS,NG,"Set(SubString{String}[""VS"", ""NG""])",VS & NG,15.14,3.24e-7,VS,NG,true,false,interacting,VS & NG,VS,NG,target,0.4056652249181693,2.30071022036682e-35,0.574398249452954,0.2713347921225383,0.019693654266958426,0.13457330415754923,1,0,0,1,100,1.391527840449731,1.13679118315889,1.1731989928683064,913,66.378816164326,23.540930734218236,1.5772179627601315,WALS,-0.25473665729084116,-0.21832884758142468,-1.9143342741327052,-0.3832141857242511,2.2975484598569564
VS & NA,-0.09,"(-0.22, 0.04)",0.09,VS,NA,"Set(SubString{String}[""NA"", ""VS""])",VS & NA,-0.56,1.0,VS,NA,false,false,unknown,VS & NA,VS,NA,target,-0.008911799807087947,0.8560678884318194,0.2507903055848261,0.6101159114857745,0.04214963119072708,0.09694415173867228,0,1,1,0,100,1.3187174298012887,0.9823100001742633,1.6347795658230977,948,66.29631769103294,23.73762988544614,1.6666666666666667,WALS,-0.3364074296270254,0.316062136021809,-2.0858956462057923,0.9099319036164962,2.9958275498222884
VS & ND,0.01,"(-0.12, 0.14)",0.01,VS,ND,"Set(SubString{String}[""ND"", ""VS""])",VS & ND,-1.59,1.0,VS,ND,false,false,unknown,VS & ND,VS,ND,target,-0.016017351204693,0.7048114487255221,0.39750849377123443,0.4665911664779162,0.06568516421291053,0.07021517553793885,0,1,1,0,100,1.483648429566584,1.2262237756924437,1.447953482080584,882,65.43924799755942,23.8677895040147,1.5736961451247165,WALS,-0.25742465387414026,-0.035694947485999995,-2.1249958240135776,0.14762589099209328,2.2726217150056707
VS & NNum,-0.18,"(-0.31, -0.05)",0.18,VS,NNum,"Set(SubString{String}[""NNum"", ""VS""])",VS & NNum,2.04,0.354,VS,NNum,false,false,unknown,VS & NNum,VS,NNum,target,-0.2987395263774891,6.788236369560867e-19,0.3068309070548712,0.5509518477043673,0.11086226203807391,0.03135498320268757,0,1,1,0,100,1.3356965673461727,1.17791709801491,1.442232782952722,892,66.52751881814507,23.306640373975323,1.6367713004484306,WALS,-0.15777946933126263,0.10653621560654924,-2.0487294617981275,0.33378071990948727,2.3825101817076146
VS & NRc,0.18,"(0.05, 0.32)",0.18,VS,NRc,"Set(SubString{String}[""NRc"", ""VS""])",VS & NRc,1.74,0.625,VS,NRc,false,false,unknown,VS & NRc,VS,NRc,target,-0.22555743362204075,1.353000802603266e-10,0.6074918566775245,0.20846905537459284,0.18078175895765472,0.003257328990228013,0,1,1,0,100,1.3561820933938584,1.628971641127486,0.877672335672151,614,65.29223918498319,23.729245969145616,1.0423452768729642,WALS,0.2727895477336275,-0.47850975772170745,-1.6306983843677776,-1.4112660856122197,3.0419644699799973
VS & NegM,0.13,"(-0.01, 0.26)",0.13,VS,NegM,"Set(SubString{String}[""NegM"", ""VS""])",VS & NegM,0.32,1.0,VS,NegM,false,true,non-interacting,VS & NegM,VS,NegM,control,0.16712305920420154,1.9737584709944387e-6,0.35006435006435005,0.5057915057915058,0.02574002574002574,0.11840411840411841,1,0,0,1,100,1.4682583444679191,1.5431011788676245,1.2736773921754154,776,66.10459736890537,23.75016604568445,1.347938144329897,WALS,0.0748428343997054,-0.19458095229250372,-2.026307245368179,0.5128554960022287,2.539162741370408
VS & PolQ,-0.08,"(-0.21, 0.06)",0.08,VS,PolQ,"Set(SubString{String}[""PolQ"", ""VS""])",VS & PolQ,-0.93,1.0,VS,PolQ,false,true,non-interacting,VS & PolQ,VS,PolQ,control,-0.03913600765335933,0.3275040566359434,0.5182767624020888,0.3302872062663185,0.10052219321148825,0.050913838120104436,0,1,1,0,100,1.5141772080894709,1.5977071927543216,1.3329053154561854,766,67.8186608860391,23.367692764873997,1.3472584856396868,WALS,0.08352998466485073,-0.18127189263328547,-1.9447132987470432,-0.4892048921537257,2.4339181909007688
VO & PN,0.64,"(0.53, 0.75)",0.64,VO,PN,"Set(SubString{String}[""PN"", ""VO""])",VO & PN,16.66,5.82e-8,VO,PN,true,false,interacting,VO & PN,VO,PN,target,0.8902218800767173,1.0752906494906391e-182,0.4716106604866744,0.013904982618771726,0.04171494785631518,0.4727694090382387,1,0,0,1,100,1.2572473979885688,1.2100814444490864,1.4823937016443556,863,66.75399705929262,23.601390894242467,1.3047508690614136,WALS,-0.047165953539482386,0.2251463036557868,0.05796175303950071,-0.05332137348434402,0.11128312652384473
