pair,f1,f2,class,phi,phi_pvalue,freq11,freq12,freq21,freq22,pref11,pref12,pref21,pref22,degree,H,H_pref,H_dispref,N,mean_distance,sd_distance,f1_pretty,f2_pretty,pair_pretty,pair_ID,pair_pretty_1,phi_JW,log_Bayes,okay_JW,okay
GB130 & GB065,GB130,GB065,target,0.3045587674733819,1.6848950501004119e-37,0.522196261682243,0.3300233644859813,0.027453271028037383,0.12032710280373832,1,1,0,0,1,1.5436324230438718,1.3497734148587373,1.76357121823913,1712,117.79232482405165,181.38432777549556,VS,NG,VS & NG,"Set(SubString{String}[""VS"", ""NG""])",NG & VS,0.45,14.12,1,interacting
GB130 & GB025,GB130,GB025,target,0.008430435414745368,0.7755340522032231,0.3894855850763143,0.46636517806670436,0.06387789711701526,0.08027133973996609,1,1,0,0,1,1.6060223533126066,1.418178995418965,1.9814904598782594,1769,114.39968219910439,164.9196703088003,VS,ND,VS & ND,"Set(SubString{String}[""ND"", ""VS""])",ND & VS,0.0,-1.64,0,unknown
GB130 & GB024,GB130,GB024,target,-0.3328587522048884,7.564154718050785e-46,0.30493273542600896,0.5454035874439462,0.12275784753363228,0.026905829596412557,1,1,0,0,1,1.527115857188119,1.3328330595628124,1.6666002926262666,1784,114.96496311369327,178.60815864747315,VS,NNum,VS & NNum,"Set(SubString{String}[""NNum"", ""VS""])",NNum & VS,-0.2,2.47,0,unknown
GB130 & VO,GB130,VO,target,0.2619636452947732,3.93942351983123e-34,0.43303121852970794,0.41037260825780464,0.02416918429003021,0.1324269889224572,1,1,0,0,1,1.5704718648403428,1.3475350052832773,1.6427634061864587,1986,110.97224545359205,172.34521219396365,VS,VO,VS & VO,"Set(SubString{String}[""VS"", ""VO""])",VO & VS,0.49,15.82,1,interacting
GB130 & NRc,GB130,NRc,target,-0.1639117473780316,5.737412827628813e-11,0.5611111111111111,0.28680555555555554,0.1326388888888889,0.019444444444444445,1,1,0,0,1,1.4906662035065583,1.3203493288528432,1.5522720932183713,1440,133.1911893984139,202.9557802727972,VS,NRc,VS & NRc,"Set(SubString{String}[""NRc"", ""VS""])",NRc & VS,0.19,1.93,0,unknown
GB130 & PN,GB130,PN,target,0.23708043366310266,6.179410034953334e-27,0.411702688455456,0.430152872957301,0.02635740643120717,0.13178703215603585,1,1,0,0,1,1.5835065019804362,1.3809802751981444,1.722054314126312,1897,113.30767101199294,181.2185310000457,VS,PN,VS & PN,"Set(SubString{String}[""VS"", ""PN""])",PN & VS,0.45,12.03,1,interacting
GB130 & NA,GB130,NA,target,-0.04602569113901053,0.08260950976643254,0.24620253164556963,0.6132911392405064,0.048734177215189876,0.09177215189873418,0,1,0,0,1,1.4610918572033578,0.8353020741958086,1.7801680023027422,1580,123.05950595878434,190.58902450560396,VS,NA,VS & NA,"Set(SubString{String}[""NA"", ""VS""])",NA & VS,-0.09,-0.51,0,unknown
GB065 & GB025,GB065,GB025,target,0.4656417583072026,2.4173108665548093e-79,0.3668150031786395,0.17991099809281627,0.09281627463445645,0.3604577240940877,1,0,0,1,1,1.8369238581502274,1.7335080994219618,1.9489577675570922,1573,124.08292154716231,181.24638817988665,NG,ND,NG & ND,"Set(SubString{String}[""ND"", ""NG""])",NG & ND,0.06,-1.17,0,unknown
GB065 & GB024,GB065,GB024,target,0.07128606332024937,0.00536667906399643,0.24889170360987967,0.29385687143761874,0.1773274224192527,0.2799240025332489,0,1,0,1,1,1.979935964202101,1.5686069529241702,1.6867995555950648,1579,122.8366439103717,188.3458197248371,NG,NNum,NG & NNum,"Set(SubString{String}[""NNum"", ""NG""])",NG & NNum,0.05,-1.32,0,unknown
GB065 & VO,GB065,VO,target,0.5893322830403827,1.8519205809363373e-137,0.41007194244604317,0.1432853717026379,0.06654676258992806,0.3800959232613909,1,0,0,1,1,1.711011732430669,1.597919032594795,1.9073848983315769,1668,119.08621007592374,183.2138931514582,NG,VO,NG & VO,"Set(SubString{String}[""VO"", ""NG""])",NG & VO,0.41,8.85,1,interacting
GB065 & NRc,GB065,NRc,target,-0.5001219202740778,3.204743111072686e-79,0.24570982839313574,0.29017160686427457,0.43057722308892354,0.033541341653666144,0,1,1,0,1,1.686690719078987,1.5957498454870749,1.6740749156310666,1282,143.05179953420398,219.83220127943366,NG,NRc,NG & NRc,"Set(SubString{String}[""NRc"", ""NG""])",NG & NRc,0.24,2.64,0,unknown
GB065 & PN,GB065,PN,target,0.6236464180427915,8.24270038744022e-158,0.3941562313655337,0.14788312462731068,0.04830053667262969,0.40966010733452596,1,0,0,1,1,1.6847553634473496,1.6028761161980274,1.824657805572371,1677,119.52305150838158,186.27939518706816,NG,PN,NG & PN,"Set(SubString{String}[""PN"", ""NG""])",NG & PN,0.55,12.07,1,interacting
GB065 & NA,GB065,NA,target,0.26907696948511817,9.597832203237602e-25,0.21348314606741572,0.31530898876404495,0.07514044943820225,0.3960674157303371,0,1,0,1,1,1.7971543743962302,1.5194259279349618,1.752284283112266,1424,130.22571641073748,200.44658670603903,NG,NA,NG & NA,"Set(SubString{String}[""NA"", ""NG""])",NA & NG,-0.12,-0.03,0,unknown
