VS & PN,1480,interacting,11.73,8.04e-06,0.31,0.39,-0.008,0.072
VS & NG,1740,interacting,8.57,0.000198,0.31,0.26,-0.015,0.085
VS & VO,2038,interacting,7.37,0.00083,0.26,0.3,-0.009,0.09
VO & PN,1452,interacting,6.98,0.00176,0.82,0.28,0,0.021
NA & NNum,1511,interacting,4.23,0.0161,0.55,0.22,-0.003,0
PN & NA,1208,interacting,3.95,0.035,0.27,-0.22,-0.036,0.017
PN & NG,1339,unknown,3.66,0.0601,0.74,-0.2,-0.008,0
ND & NNum,1684,unknown,2.99,0.108,0.51,0.18,0,0.002
VS & NRc,1176,unknown,2.24,0.204,0.21,-0.19,-0.049,0.022
PN & NNum,1378,unknown,1.79,0.348,0,-0.15,-0.022,0.008
VO & NA,1551,unknown,1.63,0.511,0.19,-0.15,-0.031,0.021
PN & NRc,928,unknown,0.44,0.902,0.61,-0.14,-0.046,0.129
NA & ND,1482,unknown,0.31,1,0.56,0.12,0,-0.02
NNum & NRc,1102,unknown,-0.08,1,0.15,0.13,-0.012,0.189
NA & NRc,1046,unknown,-0.28,1,0.4,0.11,-0.093,0.018
VO & NG,1692,unknown,-0.41,1,0.59,0.08,0,-0.004
VS & NNum,1792,unknown,-0.64,1,-0.33,-0.09,-0.011,0.071
NG & NRc,1039,unknown,-0.96,1,0.51,-0.08,-0.007,0.138
VS & NA,1596,unknown,-0.99,1,-0.05,0.07,-0.039,0.003
VO & NRc,1145,unknown,-1.42,1,0.52,0.04,-0.08,0.009
VO & ND,1751,unknown,-1.44,1,0.39,0.05,-0.001,0.003
ND & NRc,1108,unknown,-1.47,1,0.43,0.01,-0.053,0.006
PN & ND,1370,unknown,-1.51,1,0.45,-0.04,-0.001,0.007
NG & NNum,1604,unknown,-1.54,1,0.07,-0.03,-0.012,0.006
VO & NNum,1746,unknown,-1.58,1,0.02,-0.04,-0.011,0.011
VS & ND,1798,unknown,-1.61,1,0,0.03,-0.007,0.082
NG & NA,1443,unknown,-1.77,1,0.27,0.02,-0.019,0.01
NG & ND,1607,unknown,-1.86,1,0.47,-0.01,-0.002,0.014
