feature pair,(log) Bayes Factor,cumulative posterior probability
VS-VO,10.83,1.99e-5
VS-PN,8.30,0.000268
VS-NG,7.07,0.00112
NNum-NA,7.06,0.00198
PN-VO,6.90,0.00299
ND-NA,6.21,0.005
ND-NNum,4.67,0.0143
NG-VO,2.89,0.0669
NG-AdPo,2.00,0.187
NNum-NRc,1.85,0.322
NG-PN,1.74,0.472
NA-AdPo,1.44,0.663
VS-NNum,0.72,0.991
NRc-NA,0.69,1.000
PN-NA,0.60,1.000
VS-NRc,0.28,1.000
NNum-PN,0.24,1.000
AdPo-CoA,0.02,1.000
VO-CoA,-0.31,1.000
NA-CoA,-0.52,1.000
ND-NRc,-0.60,1.000
VO-NA,-0.65,1.000
PN-AdPo,-0.75,1.000
VO-AdPo,-0.78,1.000
NNum-CoA,-0.88,1.000
NNum-VO,-0.93,1.000
NG-CoA,-1.06,1.000
NG-ND,-1.08,1.000
VS-CoA,-1.30,1.000
PN-CoA,-1.31,1.000
VS-NA,-1.31,1.000
NNum-AdPo,-1.39,1.000
NG-NRc,-1.41,1.000
NRc-CoA,-1.42,1.000
PN-NRc,-1.47,1.000
ND-VO,-1.51,1.000
ND-AdPo,-1.52,1.000
NG-NA,-1.64,1.000
NG-NNum,-1.64,1.000
VS-AdPo,-1.65,1.000
NRc-VO,-1.67,1.000
VS-ND,-1.69,1.000
NRc-AdPo,-1.72,1.000
ND-CoA,-1.81,1.000
ND-PN,-1.87,1.000
